"track_id","artist_name","song_title","year","artist_familiarity","artist_hotttnesss","artist_id","artist_location","song_hotttnesss","danceability","duration","energy","loudness","idx_segments_loudness_max","tempo","key","Genre"
"TRAABLR128F423B7E3","Blue Rodeo","Floating",1987,0.636423645,0.44793548,"ARD842G1187B997376","Toronto, Ontario, Canada",0.405115722,0,491.12771,0,-8.576,0,119.826,7,"Pop_Rock"
"TRAACER128F4290F96","The Dillinger Escape Plan","Setting Fire to Sleeping Giants",2004,0.839962768,0.541888972,"ARMAC4T1187FB3FA4C","Morris Plains, NJ",0.666527846,0,207.77751,0,-4.264,0,166.862,7,"Pop_Rock"
"TRAACOW128F933E35F","Faye Adams","Crazy Mixed Up World",1961,0.396455254,0.299230368,"ARH4Z031187B9A71F2","Newark, NJ",0,0,156.39465,0,-18.051,0,95.957,8,"Pop_Rock"
"TRAACPE128F421C1B9","Terry Callier","Do You Finally Need A Friend",1972,0.706827671,0.416173065,"ARB29H41187B98F0EF","Chicago",0.413739836,0,342.56934,0,-11.939,0,110.189,6,"RnB"
"TRAACSL128F93462F4","The Shangri-Las","Twist and Shout",1964,0.640807102,0.418216518,"ARAJPHH1187FB5566A","Queens, NY",0.443291312,0,164.80608,0,-10.922,0,130.1,10,"Pop_Rock"
"TRAADLX128F1469250","Loudon Wainwright III","Human Cannonball",1995,0.661080168,0.442765842,"ARV1JVD1187B9AD195","Chapel Hill, NC",0.510119314,0,190.48444,0,-15.663,0,102.428,3,"Folk"
"TRAADMH128F9343E59","R.L. Burnside","Glory Be",2004,0.701180874,0.466628889,"AR7TTS41187B9B42D3","Oxford, MS",0.482137585,0,277.78567,0,-6.944,0,89.984,2,"Blues"
"TRAADYB128F92D7E73","Eliane Elias","The More I See You",2009,0.669726188,0.427914247,"ARGMXQW1187FB54C34","Sao Paulo, Brazil",0.43483809,0,251.42812,0,-12.009,0,86.091,7,"Jazz"
"TRAAEMJ128F425A917","Eurythmics","Tous Les GarÌ¤ons Et Les Filles",1985,0.75100762,0.523699078,"ARDGB6U1187FB3AD07","London, England",0.38293509,0,207.0722,0,-6.629,0,84.164,0,"Pop_Rock"
"TRAAEUB12903CDD3EA","The Berzerker","Deform (live)",2000,0.668370612,0.45755391,"AR0VZWC1187B99BA57","Melbourne, Australia",0,0,165.61587,0,-6.222,0,174.287,1,"Pop_Rock"
"TRAAEWG128F930B3A4","Kings Of Leon","Wicker Chair",2003,0.845768866,0.788805935,"ARF2EHS1187B994F4E","Nashville, Tennessee",0.685940227,0,187.92444,0,-5.907,0,116.823,0,"Pop_Rock"
"TRAAFON128F42926FB","Bruce Rowland","Rosemary Recalls",1985,0.443162398,0.30045446,"ARRC2JF1187B9B6A93","AUSTRALIA",0,0,84.03546,0,-26.266,0,115.642,7,"Stage"
"TRAAGEC128E079252C","Nine Inch Nails","Metal",2000,0.905776889,0.598458501,"ARK9TRQ1187B99C095","Cleveland, OH",0.635536649,0,426.89261,0,-12.951,0,63.017,0,"Pop_Rock"
"TRAAHEG128E07861C3","Redman","WKYA (drop)",2001,0.743129776,0.493566843,"ARXWAQQ1187B9AE954","Newark, NJ",0.57010593,0,124.18567,0,-10.296,0,85.008,1,"Rap"
"TRAAHJX128F9312B83","Kai Winding","Mangos",1961,0.430538907,0.316354001,"AR3C3C01187B98E800","Aarhus, Denmark",0,0,223.4771,0,-14.438,0,112.006,0,"Jazz"
"TRAAHZP12903CA25F4","Organized Konfusion","Hate",1997,0.683719468,0.412671631,"AR9ODB41187FB459B2","SPRINGFIELD, Virginia",0.460484845,0,198.3473,0,-8.709,0,175.769,11,"Rap"
"TRAAIAE128F42AC53D","Martina McBride","I Can't Stop Loving You",2005,0.614870934,0.628246419,"ARF3GX71187FB3EB66","Medicine Lodge, KS",0.488289876,0,261.95546,0,-13.627,0,100.194,7,"Country"
"TRAAIII128F427D5D8","Donny Hathaway","Little Girl (LP Version)",1971,0.657406765,0.422472423,"ARTB5PP1187FB523B7","Chicago, IL",0.617365618,0,283.21914,0,-15.144,0,111.191,2,"RnB"
"TRAAJAC128F148B530","The Roches","Christlike Roche",1995,0.573605491,0.372251208,"AR11NP91187B9901B4","New York City",0.265861049,0,338.33751,0,-14.248,0,130.027,2,"Folk"
"TRAAJJG128F4284B27","The Verve Pipe","Medicate Myself",2001,0.70334944,0.498395338,"ARQOC971187B9910FA","Lansing, MI",0.466304831,0,292.8322,0,-4.953,0,133.306,9,"Pop_Rock"
"TRAAJJV128F42A2F99","Bob Neuwirth","Biding Her Time",1990,0.434272037,0.301502462,"AR19SOA1187B98F6E6","New York",0.480610618,0,241.10975,0,-18.114,0,152.267,4,"Pop_Rock"
"TRAAKNS12903CC5198","Robben Ford","I Got Over It (Album Version)",1988,0.604820432,0.383877494,"AR7BMMV1187FB5B2D7","Ukiah, CA",0.47212112,0,203.98975,0,-11.976,0,154.322,11,"Blues"
"TRAALNG12903D014E9","Enthroned","The Vitalized Shell",2010,0.593416049,0.395709548,"ARZEWUR1187FB53DC8","Belgica -- Namur, Namur/Ghent, East Flanders",0.543052864,0,240.74404,0,-4.878,0,135.535,2,"Pop_Rock"
"TRAALRZ128F429024E","Suzanne Ciani","Mozart",1989,0.631946666,0.380704536,"AR89DTT1187B9A7ED5","California - SF",0.608500079,0,192.20853,0,-23.988,0,139.189,2,"New"
"TRAAMES128F42AF068","Pearl Jam","Inside Job",2006,0.81444811,0.60797181,"ARFVYJI1187B9B8E13","Seattle, WA",0.659304669,0,428.56444,0,-8.403,0,105.994,4,"Pop_Rock"
"TRAAMFT128F93128AD","Mastodon","The Czar: Usurper/Escape/Martyr/Spiral (Album Version)",2009,0.780461749,0.574274731,"ARMQHX71187B9890D3","Atlanta, GA",0.626612803,0,654.28853,0,-5.884,0,118.433,7,"Pop_Rock"
"TRAAMPA128F92E7D0D","Descendents","Orgofart",1986,0.727230315,0.476559379,"ARANOZN1187B9B373E","Los Angeles, CA",0.519448581,0,140.66893,0,-28.347,0,89.495,6,"Pop_Rock"
"TRAANBH128F9345A6C","Diesel Boy","Cooler Than You",1998,0.567814264,0.376688631,"AR1GYND1187B9A9CD3","Santa Rosa, California",0.405652196,0,124.15955,0,-4.793,0,133.729,11,"Pop_Rock"
"TRAAPIV128F1493132","Gary Moore","What Are We Here For",1997,0.761362238,0.467110649,"AR56P361187B9AC4DB","Belfast, Northern Ireland",0.447135796,0,345.93914,0,-6.951,0,153.862,2,"Pop_Rock"
"TRAAQLE128F424AE71","Byther Smith","I Wish My Mother Was Here",1989,0.465194733,0.36228409,"ARZ05QG1187FB3843E","Monticello, MS",0.437351761,0,418.87302,0,-11.702,0,117.168,1,"Blues"
"TRAAQPS128F429161D","Bongzilla","Witch Weed (Live)",1999,0.574400789,0.446071584,"ARRH2S81187B98C8AA","Madison, Wisconsin",0.460541281,0,397.26975,0,-6.788,0,95.882,9,"Pop_Rock"
"TRAASFP128F42980BD","Orbital","Illuminate",2001,0.693009204,0.498668875,"ARD5K161187B9AC784","Sevenoaks, United Kingdom",0.688521844,0,327.8624,0,-6.531,0,125.975,0,"Electronic"
"TRAASQC128F93480F0","Rise Against","Amber Changing",2003,0.847081688,0.625080481,"ARZWK2R1187B98F09F","Chicago",0.696469437,0,218.8273,0,-3.803,0,186.254,4,"Pop_Rock"
"TRAATIU128F4291A84","Mastodon","Shadows That Move",2001,0.780461749,0.574274731,"ARMQHX71187B9890D3","Atlanta, GA",0.784194616,0,233.58649,0,-3.937,0,89.78,2,"Pop_Rock"
"TRAAUEO128E0780CB9","Placebo","English Summer Rain",2003,0.804523521,0.586433379,"AR6892W1187B9AC71B","London, England",0.873702495,0,241.52771,0,-7.255,0,108.264,10,"Pop_Rock"
"TRAAUMN128F4273561","Soul Asylum","Lies Of Hate",1998,0.690080124,0.466775622,"ARQXR6R1187FB46FD6","Minneapolis, MN",0.360370583,0,279.2224,0,-6.582,0,68.734,11,"Pop_Rock"
"TRAAUSW128F426646E","Horace Andy","Musical Episode",2005,0.626436382,0.374271174,"AR3PN3R1187FB4CEBD","Kingston, Jamaica",0.345802234,0,234.44853,0,-10.173,0,102.055,10,"Reggae"
"TRAAVOU128F422F292","Silverstein","Always And Never (Album Version)",2005,0.80113645,0.605507136,"AR10USD1187B99F3F1","Burlington, Ontario, Canada",0.658623927,0,229.642,0,-1.998,0,108.499,2,"Pop_Rock"
"TRAAWGY128F4298A09","Led Zeppelin","Poor Tom (Album Version)",1982,0.787098355,0.634412385,"ARDIBRT1187B9AF176","England",0.31276992,0,182.09914,0,-10.7,0,210.8,1,"Pop_Rock"
"TRAAXKI128F92DAC1B","Strata","Part One From Triomusic",2004,0.612837504,0.482298832,"AR4IWYN1187FB47DF6","Campbell, CA",0,0,377.67791,0,-21.787,0,109.671,2,"Pop_Rock"
"TRAAZPJ128F4292DB5","Lisa Lynne","Isla del Luna",1999,0.6051397,0.420937755,"ARU0HTX1187B98B4C6","California - LA",0.761303218,0,316.49914,0,-14.544,0,95.981,2,"New"
"TRAAZQW128F93430DC","Shawn Colvin","Another Long One",1989,0.68550363,0.446732968,"ARDW5AW1187FB55708","Vermillion, SD",0.425124658,0,224.60036,0,-13.256,0,210.871,8,"Pop_Rock"
"TRABAFP128F931E9A1","Tiny Tim","I Hold Your Hand In Mine [Live At Royal Albert Hall]",2000,0.593496044,0.404897335,"ARPBNLO1187FB3D52F","New York, NY",0,0,43.36281,0,-23.996,0,93.779,6,"Comedy_Spoken"
"TRABCIX128F4265903","Sophie B. Hawkins","The Ballad Of Sleeping Beauty",1994,0.713274972,0.377593082,"ARNF6401187FB57032","New York, NY [Manhattan]",0.599660358,0,305.162,0,-6.301,0,105.003,9,"Pop_Rock"
"TRABCXB128F4286BD3","Steve Morse","Prognosis",2000,0.589903022,0.420692588,"ARWB3G61187FB49404","Hamilton, Ohio",0.64068403,0,363.85914,0,-6.977,0,90.199,4,"Pop_Rock"
"TRABEBP12903C9BA03","A Static Lullaby","Rattlesnake!",2008,0.758678715,0.557562472,"ARQ05GM1187B990512","Chino Hills, CA",0.590252715,0,213.49832,0,-5.537,0,202.233,2,"Pop_Rock"
