A,Bb,B,C,Dd,D,Ed,E,F,Gd,G,Ad
119.293,92.198,129.738,125.197,101.43,147.782,121.274,114.041,100.07,130.04,137.334,110.382
117.271,111.787,111.874,90.932,86.643,146.765,99.273,117.975,127.756,189.646,137.522,154.953
141.919,86.186,115.887,102.428,138.007,90.022,125.006,119.826,127.025,139.333,130.1,133.144
102.538,89.667,89.984,91.487,160.839,113.277,110.189,150.062,95.957,180.149,95.596,107.961
84.164,116.721,205.317,163.445,130.586,96.979,150.012,138.331,128.292,144.603,161.976,127.97
116.823,174.287,167.92,168.323,152.622,82.343,156.968,166.862,140.995,129.122,108.367,105.206
101.972,125.013,119.896,134.083,133.699,168.307,124.04,164.672,126.88,89.867,61.971,106.049
63.017,183.92,115.606,143.97,85.621,125.508,160.165,41.993,108.061,84.69,100.023,118.975
132.022,137.29,113.677,162.682,137.888,188.886,89.495,115.061,116.473,102.408,192.688,175.769
141.936,85.008,86.938,49.262,110.745,236.006,144.812,123.142,128.598,119.691,107.529,110.168
112.006,45.527,151.911,98.11,152.267,86.091,146.577,86.091,88.489,126.821,126.95,154.322
140.956,130.016,109.823,160.011,105.994,159.582,140.458,90.218,159.895,97.976,152.013,150.666
172.398,90.101,111.191,65.054,126.941,102.259,155.038,124.175,88.835,133.306,143.231,175.421
119.979,166.275,173.482,191.929,139.136,89.86,101.229,137.004,130.062,144.651,101.03,127.278
149.94,155.074,130.027,125.003,159.968,179.501,184.981,106.33,210.871,104.153,152.258,96.007
135.78,136.164,114.971,120.712,75.031,106.398,61.883,110.787,130.006,142.024,160.022,133.729
99.408,139.998,152.005,94.105,135.175,210.305,80.149,112.903,86.666,187.807,108.264,138.003
188.502,86.689,135.535,77.929,117.667,141.024,82.422,115.642,231.867,79.731,241.877,123.993
76.693,117.168,139.189,110.323,151.953,85.157,93.779,126.523,168.558,93.238,102.055,97.981
133.009,83.326,148.357,118.835,186.254,133.339,89.345,216.195,153.551,145.518,137.673,139.91
132.506,154.09,193.693,129.354,100.349,74.072,95.225,132.428,61.487,156.097,90.008,137.862
124.086,210.47,137.288,96.024,91.69,190.698,100.032,100.194,172.287,95.882,88.973,68.734
90.648,120.097,111.079,95.026,82.205,139.993,98.983,191.196,27.163,169.775,111.032,193.978
160.261,119.67,153.862,100.868,121.563,157.746,85.282,152.127,93.425,90.908,99.109,106.219
161.054,188.056,66.765,111.504,172.337,116.819,160.731,122.967,115.033,128.219,146.061,147.637
98.859,210.8,140.334,194.532,105.196,124.872,87.634,114.027,154.172,124.237,131.683,93.106
125.975,175.393,132.967,88.4,106.689,139.07,115.258,111.316,143.291,97.099,112.097,186.882
101.41,125.558,106.698,91.008,104.394,108.912,150.086,118.433,104.984,140.63,91.198,127.887
86.141,134.014,89.78,106.117,159.587,173.936,117.984,181.115,142.116,90.084,106.769,157.779
105.181,86.162,105.24,163.848,81.319,105.268,131.079,130.284,157.869,107.177,167.902,140.026
88.935,130.861,109.636,103.206,174.993,140.259,133.383,150.837,91.704,119.524,210.898,122.006
128.459,124.75,94.658,100.331,134.566,179.502,133.398,121.983,74.82,97.76,205.333,90.636
68.283,113.995,109.065,170.781,90.199,163.567,96.007,94.057,136.915,165.668,95.503,147.661
64.401,185.88,108.499,123.997,76.013,150.066,138.048,124.009,162.855,163.167,124.194,121.553
75.955,133.553,109.671,96.874,174.019,87.976,141.334,101.492,151.882,144.836,128.022,179.575
112.787,92.044,0,129.781,75.467,103.936,105.671,128.173,186.13,211.327,127,109.702
89.865,203.964,95.981,85.399,100.612,66.988,124.025,162.385,166.238,98.49,107.845,91.191
98.718,161.796,192.702,105.218,91.538,196.188,118.052,91.328,102.328,124.177,176.066,137.534
100.415,95.816,143.601,117.973,155.896,92.98,126.4,201.802,114.061,122.174,185.094,140.033
124.184,107.185,202.233,155.05,88.001,100.032,72.001,0,131.578,129.122,86.571,120.703
94.031,75.127,91.483,80.999,158.321,90.18,135.982,107.197,166.05,97.538,102.731,117.295
136.948,111.936,123.695,106.896,107.536,144.71,85.029,196.034,41.21,105.003,105.535,88.043
169.878,81.586,91.459,98.763,115.066,86.665,157.909,118.595,129.488,76.296,135.955,83.065
97.151,167.486,85.691,153.765,87.453,95.111,127.992,159.233,120.117,140.872,86.199,94.777
144.003,97.148,97.619,93.312,135.072,145.949,35.898,110.218,156.65,120.001,113.326,117.985
163.97,150.056,100.76,144.067,126.938,140.13,153.738,133.405,90.915,183.808,108.917,165.546
188.924,79.823,163.67,162.676,159.959,173.205,90.666,100.621,131.991,126.806,160.981,136.95
125.147,126.14,103.29,132.002,88.973,138.25,67.904,101.01,160.04,193.56,116.005,118.713
128.689,146.894,90.008,111.267,104.823,162.876,215.916,92.672,100.081,95.633,106.769,101.742
111.663,100.893,132.973,103.189,167.909,89.201,119.987,116.984,94.958,120.876,35.931,127.923
38.233,100.145,142.68,110.603,147.679,73.136,112.081,116.11,111.542,114.73,81.111,118.043
98.151,129.984,152.434,123.994,145.917,121.815,108.831,92.606,98.824,106.438,110.994,156.074
230.992,174.57,229.913,93.331,129.318,102.95,80.979,104.307,106.269,101.662,101.988,128.702
97.03,93.056,84.224,141.231,105.29,78.453,167.951,126.342,106.413,99.487,107.877,184.964
101.485,88.761,100.15,145.271,176.153,159.702,174.282,147.576,88.908,200.169,79.09,142.01
121.232,106.438,93.015,87.63,86.82,89.995,89.998,190.01,84.998,100.011,74.166,120.231
95.655,81.38,105.927,154.631,99.076,90.282,130.691,127.298,125.057,125.916,158.103,117.892
85.771,123.007,113.058,150.75,127.782,183.827,98.623,179.988,86.056,79.734,99.238,167.841
70.649,195.976,179.264,131.624,127.547,79.226,123.891,80.41,178.716,178.725,110.666,95.386
85.878,100.173,144.073,147.853,135.087,98.117,111.901,88.137,110.5,150.867,120.006,240.761
86.997,160.409,90.027,122.774,123.635,111.465,86.01,123.657,189.758,100.342,181.889,98.018
100.051,77.306,179.13,77.207,133.925,128.598,120.492,144.954,134.857,88.02,123.049,128.092
134.051,187.716,117.329,76.415,144.803,90.009,143.951,74.046,94.069,111.903,73.545,186.159
160.009,98.645,89.966,91.584,81.901,89.67,89.019,86.62,127.984,140.984,111.004,89.168
132.858,0,121.981,114.758,118.041,181.549,139.23,200.716,97.845,137.941,124.534,122.041
122.113,91.101,90.177,148.748,152.214,72.937,95.021,182.168,89.848,131.968,145.222,77.692
117.671,123.965,84.064,118.096,100.604,103.77,154.211,125.086,79.042,163.385,178.574,62.894
85.311,92.012,173.841,103.225,105.813,96.709,117.298,150.013,162.984,135.914,93.978,121.284
80.315,85.112,90.66,40.27,76.986,108.018,103.433,141.116,172.35,112.071,104.856,99.995
126.533,135.048,120.977,72.071,79.53,183.58,95.464,101.621,110.598,126.105,129.888,133.607
152.194,140.994,76.499,139.167,84.103,150.032,87.99,101.08,108.445,90.013,167.878,83.053
94.554,149.317,80.738,97.289,95.997,146.654,150.302,97.02,91.011,101.167,132.109,102.399
67.745,153.055,138.508,165.346,120.052,90.306,101.059,197.458,120.066,130.316,133.953,151.936
210.982,99.968,74.809,103.129,133.811,136.463,90.148,124.604,84.894,135.407,103.807,118.268
80.484,100.694,102.165,127.817,96.287,193.84,154.093,127.745,206.454,130.756,76.166,96.027
124.788,133.318,201.651,87.485,120.119,121.91,119.683,132.892,95.986,67.405,155.735,125.088
208.416,150.024,106.941,119.727,180.296,93.961,122.965,95.973,200.199,114.011,128.022,137.846
97.362,168.013,128.135,86.96,149.054,49.171,122.91,151.5,85.322,137.951,104.799,91.89
63.007,38.644,159.723,116.596,141.45,59.478,106.919,70.331,105.324,95.243,105.129,69.792
130.032,140.264,133.391,132.026,136.459,163.204,85.765,117.454,190.922,122.403,146.569,129.714
64.006,161.405,92.29,76.57,166.687,88.947,106.659,121.773,117.947,100.295,88.109,136.248
113.082,186.121,100.048,147.659,182.57,130.091,120.103,143.679,121.988,201.951,91.695,180.137
152.461,173.357,137.219,131.761,161.782,137.342,103.088,102.756,119.976,101.455,132.045,133.005
89.927,140.048,138.028,131.292,88.018,188.068,109.158,94.888,95.981,119.428,158.479,121.968
95.179,145.055,178.192,45.508,67.046,167.477,101.923,125.995,69.768,105.202,84.64,158.007
106.742,106.504,95.036,126.792,92.881,110.04,115.449,108.914,216.023,200.061,110.1,194.53
150.955,85.366,110.551,90.099,186.012,145.478,100.009,127.113,172.514,97.959,95.655,166.026
121.201,88.329,141.51,100.088,121.001,123.81,83.15,90.61,160.02,194.156,130.459,88.064
91.981,109.154,140.659,120.022,149.948,42.106,108.009,146.445,65.264,120.411,124.988,188.947
150.848,95.301,117.116,115.005,159.798,224.247,127.582,169.235,129.88,86.536,89.394,78.213
60.11,154.356,86.902,168.268,114.915,116.716,197.152,172.716,75.669,200.375,112.067,109.731
167.954,105.826,148.505,96.243,146.708,108.662,125.95,95.655,104.667,168.248,129.047,73.979
85.316,122.022,81.986,125.329,150.163,157.95,93.848,100.081,166.648,117.076,121.354,124.976
116.621,92.326,116.423,89.954,124.078,128.077,182.98,140.316,139.872,130.64,90.882,160.783
140.173,199.747,115.606,108.11,161.976,104.783,157.001,109.051,110.177,85.453,115.862,101.913
92.68,138.364,166.906,87.062,140.951,112.781,152.02,145.689,109.963,194.704,106.07,179.587
225.669,124.014,82.571,121.117,158.517,128.972,123.094,168.946,145.607,161.621,59.253,148.712
96.212,116.043,92.785,142.004,107.011,95.781,80.996,81.809,145.259,78.382,220.031,135.989
64.811,80.167,141.022,106.964,105.288,121.071,75.889,150.11,80.016,201.333,145.16,120.008
141.836,103.637,200.534,122.503,62.018,124.534,111.006,106.237,97.284,173.709,101.544,149.591
77.5,126.682,139.685,140.151,104.521,106.127,94.993,130.716,131.118,125.992,82.634,120.042
