A,Bb,B,C,Dd,D,Ed,E,F,Gd,G,Ad
-9.013,-11.197,-4.501,-8.346,-11.642,-9.323,-9.843,-6.697,-9.689,-6.632,-7.75,-8.514
-12.716,-17.302,-8.05,-17.699,-13.496,-10.021,-8.032,-7.545,-16.11,-9.512,-12.332,-9.253
-10.93,-15.221,-2.022,-15.663,-15.335,-4.516,-6.486,-8.576,-9.616,-10.358,-10.922,-11.506
-8.541,-19.478,-6.944,-11.98,-9.983,-9.998,-11.939,-5.271,-18.051,-8.531,-9.493,-8.686
-6.629,-7.805,-14.179,-9.741,-9.063,-9.161,-5.58,-6.787,-8.879,-11.751,-10.466,-5.884
-5.907,-6.222,-6.693,-8.639,-7.787,-15.581,-5.541,-4.264,-4.865,-9.091,-4.313,-4.882
-4.638,-6.305,-9.97,-7.614,-12.839,-15.761,-7.982,-5.908,-9.093,-11.051,-8.095,-8.133
-12.951,-4.42,-8.165,-4.144,-12.004,-12.991,-5.157,-7.762,-8.37,-11.215,-5.152,-13.71
-2.658,-11.335,-8.7,-15.54,-6.01,-6.019,-28.347,-7.469,-7.103,-2.119,-9.965,-8.709
-4.907,-10.296,-5.758,-13.366,-5.931,-10.229,-5.671,-10.7,-9.414,-6.302,-7.309,-12.651
-14.438,-13.002,-11.479,-8.372,-18.114,-1.925,-6.885,-12.009,-13.251,-13.495,-9.632,-11.976
-27.433,-5.701,-37.398,-12.084,-8.403,-17.308,-4.2,-11.043,-10.777,-16.056,-13.038,-6.284
-9.275,-13.836,-15.144,-14.952,-7.661,-2.869,-6.258,-13.33,-6.021,-4.953,-3.422,-3.818
-5.913,-11.061,-17.285,-5.786,-17.623,-15.736,-12.99,-12.412,-8.147,-15.358,-9.716,-5.602
-5.21,-5.904,-14.248,-6.503,-10.647,-12.053,-5.483,-21.552,-13.256,-4.633,-19.794,-6.929
-12.717,-18.147,-7.04,-7,-4.172,-10.274,-18.349,-8.488,-10.683,-9.748,-5.912,-4.793
-15.351,-4.376,-11.213,-12.437,-12.772,-11.273,-5.947,-9.603,-26.358,-4.198,-7.255,-11.708
-9.435,-6.248,-4.878,-16.215,-29.295,-14.449,-13.826,-26.266,-15.672,-25.694,-4.779,-12.26
-19.821,-11.702,-23.988,-11.508,-6.546,-8.901,-23.996,-12.69,-10.274,-14.737,-10.173,-23.527
